LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.0002861023	22.897685051	27	63.125	47.16576486181476	180.0	21.0	63.125	47.16576486181476	1010	28700
0.037296295	23.7995111942	28	61.68421052631579	35.044411870141296	179.0	27.0	61.68421052631579	35.044411870141296	1172	29872
0.03711319	24.5603141785	29	54.63157894736842	22.396453023486576	102.0	18.0	54.63157894736842	22.396453023486576	1038	30910
0.04534912	25.3749160767	30	59.588235294117645	35.380384767517405	164.0	26.0	59.588235294117645	35.380384767517405	1013	31923
0.0087509155	26.133505106	31	50.9	15.82055624812225	83.0	31.0	50.9	15.82055624812225	1018	32941
0.00951767	26.8597562313	32	59.11764705882353	24.494614901433955	122.0	28.0	59.11764705882353	24.494614901433955	1005	33946
0.004798889	27.6392600536	33	75.21428571428571	32.57777193869765	141.0	34.0	75.21428571428571	32.57777193869765	1053	34999
0.06145096	28.4321451187	34	69.46666666666667	27.98062821945847	158.0	30.0	69.46666666666667	27.98062821945847	1042	36041
0.043037415	29.2225501537	35	62.8125	21.688760770269933	105.0	27.0	62.8125	21.688760770269933	1005	37046
-0.010314941	30.0376381874	36	65.6875	27.043295726482746	133.0	18.0	65.6875	27.043295726482746	1051	38097
0.007183075	30.8235580921	37	51.8	20.932271735289508	93.0	21.0	51.8	20.932271735289508	1036	39133
0.011581421	31.5263710022	38	72.07142857142857	17.048101216910958	104.0	45.0	72.07142857142857	17.048101216910958	1009	40142
0.11634827	32.3519902229	39	74.14285714285714	36.75956074441653	163.0	23.0	74.14285714285714	36.75956074441653	1038	41180
0.022045135	33.1366131306	40	67.8	18.2069583767672	97.0	32.0	67.8	18.2069583767672	1017	42197
-0.022087097	33.9357151985	41	53.4	21.664256276179895	106.0	23.0	53.4	21.664256276179895	1068	43265
0.007835388	34.6746082306	42	61.76470588235294	22.626193596763038	117.0	19.0	61.76470588235294	22.626193596763038	1050	44315
0.022163391	35.411026001	43	64.25	24.419510642107472	122.0	33.0	64.25	24.419510642107472	1028	45343
-0.00680542	36.1354980469	44	67.66666666666667	27.49949494485712	131.0	26.0	67.66666666666667	27.49949494485712	1015	46358
0.028755188	36.8940930367	45	64.5	23.973944189473706	115.0	32.0	64.5	23.973944189473706	1032	47390
0.03647995	37.633038044	46	71.71428571428571	19.55004045092115	107.0	35.0	71.71428571428571	19.55004045092115	1004	48394
0.02488327	38.4223601818	47	84.5	42.74049601958311	200.0	26.0	84.5	42.74049601958311	1014	49408
0.05368805	39.139218092	48	69.73333333333333	23.101130323476	106.0	38.0	69.73333333333333	23.101130323476	1046	50454
0.005569458	39.8839631081	49	93.63636363636364	34.182059960460194	165.0	50.0	93.63636363636364	34.182059960460194	1030	51484
-0.01960373	40.6865861416	50	70.6	28.257860263414614	129.0	31.0	70.6	28.257860263414614	1059	52543
0.1629715	41.4046092033	51	101.3	42.77160272891349	166.0	45.0	101.3	42.77160272891349	1013	53556
-0.0019226074	42.199860096	52	81.0	44.43664461472518	200.0	40.0	81.0	44.43664461472518	1053	54609
-0.0071487427	42.9453761578	53	78.61538461538461	29.520627629190102	141.0	38.0	78.61538461538461	29.520627629190102	1022	55631
0.08263397	43.7147991657	54	104.1	28.852902800238315	136.0	56.0	104.1	28.852902800238315	1041	56672
-0.056079865	44.4826869965	55	79.0	25.675489659026354	146.0	38.0	79.0	25.675489659026354	1027	57699
0.25780487	45.3077611923	56	117.55555555555556	42.85663726921061	188.0	71.0	117.55555555555556	42.85663726921061	1058	58757
0.065979004	46.0586600304	57	111.66666666666667	46.95624440784089	200.0	27.0	111.66666666666667	46.95624440784089	1005	59762
0.04427719	46.8522109985	58	85.16666666666667	35.44675192767628	146.0	37.0	85.16666666666667	35.44675192767628	1022	60784
-0.09111786	47.6554980278	59	98.27272727272727	42.45658939989262	186.0	26.0	98.27272727272727	42.45658939989262	1081	61865
0.029190063	48.3942830563	60	127.375	42.08306518066382	200.0	64.0	127.375	42.08306518066382	1019	62884
0.20713806	49.1962552071	61	86.16666666666667	40.32541244536612	200.0	47.0	86.16666666666667	40.32541244536612	1034	63918
-0.072395325	50.0585160255	62	103.72727272727273	39.95017558066071	200.0	49.0	103.72727272727273	39.95017558066071	1141	65059
-0.0019264221	50.8617470264	63	94.45454545454545	29.31758279867262	150.0	57.0	94.45454545454545	29.31758279867262	1039	66098
0.17021942	51.6403551102	64	113.55555555555556	52.16450711421642	200.0	34.0	113.55555555555556	52.16450711421642	1022	67120
-0.14988708	52.4550290108	65	117.0	58.37617474430624	200.0	31.0	117.0	58.37617474430624	1053	68173
0.11363983	53.308604002	66	125.22222222222223	53.85944212645392	200.0	34.0	125.22222222222223	53.85944212645392	1127	69300
-0.027999878	54.1441850662	67	161.57142857142858	38.104582187362574	200.0	88.0	161.57142857142858	38.104582187362574	1131	70431
-0.19424438	54.8780231476	68	121.0	46.9041575982343	187.0	31.0	121.0	46.9041575982343	1089	71520
0.042037964	55.725508213	69	144.25	32.34482184214345	179.0	83.0	144.25	32.34482184214345	1154	72674
-0.076171875	56.4315061569	70	143.14285714285714	26.925445062927643	179.0	87.0	143.14285714285714	26.925445062927643	1002	73676
-0.07761383	57.2007780075	71	169.5	36.69582174217295	200.0	112.0	169.5	36.69582174217295	1017	74693
0.05960846	58.0773451328	72	163.42857142857142	39.31868746122471	200.0	90.0	163.42857142857142	39.31868746122471	1144	75837
0.01939392	58.8780891895	73	135.25	64.86283604653747	200.0	25.0	135.25	64.86283604653747	1082	76919
0.04776001	59.628319025	74	166.83333333333334	46.53463465229121	200.0	76.0	166.83333333333334	46.53463465229121	1001	77920
0.1825409	60.4617671967	75	154.71428571428572	52.409689087077034	200.0	29.0	154.71428571428572	52.409689087077034	1083	79003
0.18032074	61.277575016	76	144.25	65.01874729645289	200.0	30.0	144.25	65.01874729645289	1154	80157
-0.18373871	62.048279047	77	175.33333333333334	22.595476440109767	200.0	143.0	175.33333333333334	22.595476440109767	1052	81209
-0.04838562	62.9293911457	78	162.71428571428572	44.5860781785855	200.0	82.0	162.71428571428572	44.5860781785855	1139	82348
0.43691254	63.6890311241	79	126.5	67.81039743284211	200.0	25.0	126.5	67.81039743284211	1012	83360
-0.041923523	64.5206031799	80	138.0	53.16013544000805	200.0	21.0	138.0	53.16013544000805	1104	84464
-0.019241333	65.2776961327	81	145.28571428571428	37.54507495080046	200.0	83.0	145.28571428571428	37.54507495080046	1017	85481
-0.013847351	66.0713281631	82	152.14285714285714	57.319726276458816	200.0	31.0	152.14285714285714	57.319726276458816	1065	86546
0.16660309	66.8325901031	83	157.28571428571428	43.73855535439866	200.0	80.0	157.28571428571428	43.73855535439866	1101	87647
0.011398315	67.6536540985	84	155.0	57.39089026765734	200.0	27.0	155.0	57.39089026765734	1085	88732
-0.031188965	68.5730090141	85	169.14285714285714	28.89601342463584	200.0	125.0	169.14285714285714	28.89601342463584	1184	89916
0.10747528	69.3621361256	86	149.0	45.223255711446264	200.0	61.0	149.0	45.223255711446264	1043	90959
0.04008484	70.1920771599	87	155.71428571428572	48.48774303357289	200.0	42.0	155.71428571428572	48.48774303357289	1090	92049
-0.014709473	70.9213240147	88	170.5	27.62094615806393	200.0	114.0	170.5	27.62094615806393	1023	93072
0.01789093	71.6724081039	89	145.42857142857142	47.9251116485983	200.0	74.0	145.42857142857142	47.9251116485983	1018	94090
0.13015747	72.4124720097	90	145.71428571428572	56.02732569460902	200.0	65.0	145.71428571428572	56.02732569460902	1020	95110
0.019599915	73.2049291134	91	173.5	27.225906780123964	200.0	118.0	173.5	27.225906780123964	1041	96151
-0.01159668	74.0747051239	92	164.42857142857142	28.11637622889724	200.0	104.0	164.42857142857142	28.11637622889724	1151	97302
-0.037635803	74.9713392258	93	192.33333333333334	9.672412085697939	200.0	173.0	192.33333333333334	9.672412085697939	1154	98456
0.081459045	75.8081741333	94	145.25	37.00928937442598	178.0	76.0	145.25	37.00928937442598	1162	99618
0.16130829	76.7166700363	95	187.0	14.224392195567912	200.0	164.0	187.0	14.224392195567912	1122	100740
-0.037078857	77.536550045	96	174.16666666666666	37.90521805181386	200.0	105.0	174.16666666666666	37.90521805181386	1045	101785
0.17507172	78.3772320747	97	179.5	26.936654085712526	200.0	125.0	179.5	26.936654085712526	1077	102862
-0.060508728	79.2762880325	98	188.66666666666666	19.301698255737904	200.0	147.0	188.66666666666666	19.301698255737904	1132	103994
0.050048828	80.0271551609	99	172.33333333333334	32.85659074760429	200.0	104.0	172.33333333333334	32.85659074760429	1034	105028
