Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.80093097687	0	19.745098039215687	10.346626119137186	55.0	8.0	19.745098039215687	10.346626119137186	1007	1007
2.42371892929	1	20.857142857142858	12.0	72.0	9.0	20.857142857142858	12.0	1022	2029
2.99615502357	2	22.755555555555556	11.796714336449893	64.0	10.0	22.755555555555556	11.796714336449893	1024	3053
3.57291603088	3	23.790697674418606	11.91941574097798	64.0	9.0	23.790697674418606	11.91941574097798	1023	4076
4.14338183403	4	30.606060606060606	22.46875189577522	118.0	9.0	30.606060606060606	22.46875189577522	1010	5086
4.81050086021	5	26.526315789473685	12.573440767840054	78.0	10.0	26.526315789473685	12.573440767840054	1008	6094
5.39720392227	6	29.485714285714284	15.94162821684415	81.0	12.0	29.485714285714284	15.94162821684415	1032	7126
5.99728488922	7	34.166666666666664	12.850637684134156	64.0	12.0	34.166666666666664	12.850637684134156	1025	8151
6.64112997055	8	37.370370370370374	21.378681226257548	91.0	12.0	37.370370370370374	21.378681226257548	1009	9160
7.21306586266	9	42.166666666666664	17.976064332575383	85.0	17.0	42.166666666666664	17.976064332575383	1012	10172
7.76334691048	10	51.75	24.324627438051337	98.0	15.0	51.75	24.324627438051337	1035	11207
8.32477998734	11	47.76190476190476	20.052086370262163	99.0	16.0	47.76190476190476	20.052086370262163	1003	12210
8.86866998672	12	37.851851851851855	15.25026703762242	67.0	13.0	37.851851851851855	15.25026703762242	1022	13232
9.42682385445	13	41.833333333333336	21.584459430082767	95.0	16.0	41.833333333333336	21.584459430082767	1004	14236
9.98259687424	14	39.19230769230769	18.07254447789036	81.0	14.0	39.19230769230769	18.07254447789036	1019	15255
10.5177369118	15	56.05555555555556	28.661767453879165	125.0	16.0	56.05555555555556	28.661767453879165	1009	16264
11.0797948837	16	60.588235294117645	17.279906125594046	114.0	37.0	60.588235294117645	17.279906125594046	1030	17294
