Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.56070113182	0	23.411214953271028	12.935464018156056	79.0	9.0	23.411214953271028	12.935464018156056	5010	5010
7.18080401421	1	24.669950738916256	13.234319971979144	81.0	9.0	24.669950738916256	13.234319971979144	5008	10018
9.99833011627	2	28.674285714285713	17.91223592738682	133.0	9.0	28.674285714285713	17.91223592738682	5018	15036
12.7245161533	3	32.294871794871796	21.253119815844457	132.0	10.0	32.294871794871796	21.253119815844457	5038	20074
15.4648330212	4	32.71895424836601	19.267792054906273	98.0	9.0	32.71895424836601	19.267792054906273	5006	25080
18.2544550896	5	37.582089552238806	22.32570919716011	115.0	9.0	37.582089552238806	22.32570919716011	5036	30116
21.0342700481	6	38.723076923076924	21.322438662886206	113.0	10.0	38.723076923076924	21.322438662886206	5034	35150
23.8157420158	7	41.875	24.659197912070592	172.0	10.0	41.875	24.659197912070592	5025	40175
26.5792520046	8	46.85981308411215	29.173169275423934	151.0	12.0	46.85981308411215	29.173169275423934	5014	45189
29.3388710022	9	47.76190476190476	28.862737160080336	165.0	12.0	47.76190476190476	28.862737160080336	5015	50204
32.0826160908	10	48.70873786407767	29.115315113101012	161.0	12.0	48.70873786407767	29.115315113101012	5017	55221
34.8889250755	11	53.659574468085104	29.387923844736445	188.0	14.0	53.659574468085104	29.387923844736445	5044	60265
37.7539870739	12	55.10752688172043	33.49577484688724	185.0	11.0	55.10752688172043	33.49577484688724	5125	65390
40.5060989857	13	55.16483516483517	26.199682799968844	134.0	11.0	55.16483516483517	26.199682799968844	5020	70410
43.2695951462	14	58.47674418604651	28.788210904363158	152.0	15.0	58.47674418604651	28.788210904363158	5029	75439
46.0159521103	15	54.54347826086956	29.180254283943693	163.0	16.0	54.54347826086956	29.180254283943693	5018	80457
48.8947970867	16	64.12658227848101	28.749625022808402	150.0	15.0	64.12658227848101	28.749625022808402	5066	85523
51.7479081154	17	66.70666666666666	30.727956145648363	145.0	17.0	66.70666666666666	30.727956145648363	5003	90526
54.6341190338	18	63.4375	28.221376538893352	152.0	13.0	63.4375	28.221376538893352	5075	95601
57.4162530899	19	74.48529411764706	28.03857251079139	171.0	25.0	74.48529411764706	28.03857251079139	5065	100666
60.1851170063	20	72.53623188405797	29.39416274011911	141.0	15.0	72.53623188405797	29.39416274011911	5005	105671
62.9648301601	21	76.22727272727273	38.91980700633635	200.0	20.0	76.22727272727273	38.91980700633635	5031	110702
65.7055101395	22	78.21875	31.68175182084318	182.0	27.0	78.21875	31.68175182084318	5006	115708
68.5436460972	23	80.41269841269842	33.986755086209655	200.0	18.0	80.41269841269842	33.986755086209655	5066	120774
71.2608289719	24	86.44827586206897	39.05882937569638	200.0	27.0	86.44827586206897	39.05882937569638	5014	125788
74.1055150032	25	82.26229508196721	37.07542230366222	200.0	17.0	82.26229508196721	37.07542230366222	5018	130806
76.8600461483	26	87.05172413793103	35.898046442761455	200.0	37.0	87.05172413793103	35.898046442761455	5049	135855
79.6481771469	27	96.5576923076923	44.46580945017387	200.0	24.0	96.5576923076923	44.46580945017387	5021	140876
82.4331440926	28	92.98148148148148	41.12694473201721	200.0	23.0	92.98148148148148	41.12694473201721	5021	145897
85.2080910206	29	96.84615384615384	36.65870901635193	175.0	29.0	96.84615384615384	36.65870901635193	5036	150933
88.0087790489	30	102.24489795918367	39.85767056089214	200.0	27.0	102.24489795918367	39.85767056089214	5010	155943
91.0885560513	31	121.11904761904762	44.32466924698791	200.0	23.0	121.11904761904762	44.32466924698791	5087	161030
93.9087569714	32	120.21428571428571	49.00706252032199	200.0	25.0	120.21428571428571	49.00706252032199	5049	166079
96.6969411373	33	118.90697674418605	51.02157042858892	200.0	19.0	118.90697674418605	51.02157042858892	5113	171192
99.5230491161	34	139.33333333333334	44.0410162361305	200.0	33.0	139.33333333333334	44.0410162361305	5016	176208
102.378909111	35	142.16666666666666	36.14361784756903	200.0	74.0	142.16666666666666	36.14361784756903	5118	181326
105.229795933	36	147.11428571428573	45.031907055567	200.0	29.0	147.11428571428573	45.031907055567	5149	186475
107.781608105	37	148.73529411764707	46.5948171969735	200.0	20.0	148.73529411764707	46.5948171969735	5057	191532
110.25487709	38	151.1764705882353	38.66254502154834	200.0	27.0	151.1764705882353	38.66254502154834	5140	196672
113.151900053	39	174.79310344827587	27.41051813012137	200.0	103.0	174.79310344827587	27.41051813012137	5069	201741
116.013991117	40	160.3125	39.20175179440327	200.0	27.0	160.3125	39.20175179440327	5130	206871
118.883038998	41	177.27586206896552	36.14043160603689	200.0	32.0	177.27586206896552	36.14043160603689	5141	212012
121.793422937	42	183.89285714285714	24.06737460563913	200.0	112.0	183.89285714285714	24.06737460563913	5149	217161
124.638776064	43	181.75	27.615504185666634	200.0	92.0	181.75	27.615504185666634	5089	222250
127.444977999	44	187.11111111111111	22.985234122242932	200.0	103.0	187.11111111111111	22.985234122242932	5052	227302
130.342925072	45	181.07142857142858	34.661556072798504	200.0	69.0	181.07142857142858	34.661556072798504	5070	232372
133.220499039	46	176.9655172413793	34.368673344938436	200.0	57.0	176.9655172413793	34.368673344938436	5132	237504
136.046709061	47	179.60714285714286	34.38265684668267	200.0	92.0	179.60714285714286	34.38265684668267	5029	242533
139.000524044	48	171.76666666666668	37.744477153029365	200.0	93.0	171.76666666666668	37.744477153029365	5153	247686
141.86245203	49	179.67857142857142	36.8714500193661	200.0	57.0	179.67857142857142	36.8714500193661	5031	252717
144.907702923	50	170.33333333333334	35.40276197637065	200.0	84.0	170.33333333333334	35.40276197637065	5110	257827
147.975003004	51	186.40740740740742	28.34608766428017	200.0	66.0	186.40740740740742	28.34608766428017	5033	262860
150.783682108	52	174.48275862068965	38.49641334807535	200.0	41.0	174.48275862068965	38.49641334807535	5060	267920
153.684944153	53	172.5	39.85703618350634	200.0	59.0	172.5	39.85703618350634	5175	273095
156.559643984	54	180.67857142857142	25.94507050816146	200.0	117.0	180.67857142857142	25.94507050816146	5059	278154
159.425681114	55	180.82142857142858	29.33434551052081	200.0	96.0	180.82142857142858	29.33434551052081	5063	283217
162.283359051	56	189.8148148148148	20.42336540816268	200.0	124.0	189.8148148148148	20.42336540816268	5125	288342
165.161837101	57	190.1851851851852	15.340667417604694	200.0	133.0	190.1851851851852	15.340667417604694	5135	293477
167.976823092	58	174.41379310344828	38.01679959083362	200.0	62.0	174.41379310344828	38.01679959083362	5058	298535
170.761013985	59	192.5	14.380141221088948	200.0	148.0	192.5	14.380141221088948	5005	303540
173.584253073	60	193.96153846153845	14.067094088498681	200.0	143.0	193.96153846153845	14.067094088498681	5043	308583
176.416981936	61	187.37037037037038	23.336742843196703	200.0	88.0	187.37037037037038	23.336742843196703	5059	313642
179.269755125	62	188.44444444444446	26.696279853655483	200.0	87.0	188.44444444444446	26.696279853655483	5088	318730
182.14885211	63	190.03703703703704	18.685469659766	200.0	141.0	190.03703703703704	18.685469659766	5131	323861
185.04461813	64	190.1851851851852	19.237380735388566	200.0	129.0	190.1851851851852	19.237380735388566	5135	328996
187.872770071	65	189.33333333333334	25.267458210996303	200.0	88.0	189.33333333333334	25.267458210996303	5112	334108
190.712146997	66	194.69230769230768	11.594989736185562	200.0	162.0	194.69230769230768	11.594989736185562	5062	339170
193.539150953	67	195.03846153846155	15.57977181927991	200.0	126.0	195.03846153846155	15.57977181927991	5071	344241
196.418960094	68	194.65384615384616	12.871980027271842	200.0	144.0	194.65384615384616	12.871980027271842	5061	349302
199.29162097	69	197.73076923076923	11.346153846153845	200.0	141.0	197.73076923076923	11.346153846153845	5141	354443
202.079746008	70	194.26923076923077	15.902485757089607	200.0	146.0	194.26923076923077	15.902485757089607	5051	359494
204.968398094	71	196.46153846153845	9.348923299712396	200.0	162.0	196.46153846153845	9.348923299712396	5108	364602
207.847386122	72	195.15384615384616	16.89262995349043	200.0	125.0	195.15384615384616	16.89262995349043	5074	369676
210.669444084	73	195.69230769230768	11.785810343111203	200.0	152.0	195.69230769230768	11.785810343111203	5088	374764
213.60928607	74	190.66666666666666	14.17875301417713	200.0	156.0	190.66666666666666	14.17875301417713	5148	379912
216.50911808	75	190.1851851851852	17.363301096442072	200.0	130.0	190.1851851851852	17.363301096442072	5135	385047
219.359732151	76	186.2962962962963	31.13746679057933	200.0	47.0	186.2962962962963	31.13746679057933	5030	390077
222.189960957	77	180.03571428571428	21.92435394529032	200.0	141.0	180.03571428571428	21.92435394529032	5041	395118
225.045421124	78	183.0	21.44427995660248	200.0	130.0	183.0	21.44427995660248	5124	400242
227.849216938	79	172.48275862068965	25.722150242148636	200.0	113.0	172.48275862068965	25.722150242148636	5002	405244
230.255490065	80	177.17241379310346	25.71738840915609	200.0	114.0	177.17241379310346	25.71738840915609	5138	410382
232.734549046	81	181.78571428571428	17.817241134155786	200.0	150.0	181.78571428571428	17.817241134155786	5090	415472
235.221095085	82	180.71428571428572	20.343228327271714	200.0	123.0	180.71428571428572	20.343228327271714	5060	420532
238.114675045	83	182.10714285714286	20.78691086393806	200.0	121.0	182.10714285714286	20.78691086393806	5099	425631
240.995764017	84	184.46428571428572	17.84953409327366	200.0	145.0	184.46428571428572	17.84953409327366	5165	430796
243.970108986	85	184.64285714285714	22.67505597049997	200.0	121.0	184.64285714285714	22.67505597049997	5170	435966
246.79134202	86	184.53571428571428	34.30793550733577	200.0	35.0	184.53571428571428	34.30793550733577	5167	441133
249.490846157	87	190.55555555555554	15.32930703981715	200.0	152.0	190.55555555555554	15.32930703981715	5145	446278
252.171011925	88	196.6153846153846	9.397532094515858	200.0	159.0	196.6153846153846	9.397532094515858	5112	451390
254.67188096	89	191.77777777777777	21.340855155439108	200.0	109.0	191.77777777777777	21.340855155439108	5178	456568
