Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.30534505844	0	20.702479338842974	11.641436840189384	89.0	8.0	20.702479338842974	11.641436840189384	5010	5010
8.25353097916	1	22.858447488584474	11.143442462653784	71.0	8.0	22.858447488584474	11.143442462653784	5006	10016
11.0461111069	2	23.0	11.858757818013714	77.0	8.0	23.0	11.858757818013714	5037	15053
13.8127691746	3	26.19371727748691	15.201927485383337	99.0	9.0	26.19371727748691	15.201927485383337	5003	20056
16.5282590389	4	28.07262569832402	17.691025384053574	112.0	9.0	28.07262569832402	17.691025384053574	5025	25081
19.2082879543	5	29.21511627906977	16.89692429313319	103.0	9.0	29.21511627906977	16.89692429313319	5025	30106
21.8447971344	6	32.84313725490196	18.55221130771202	127.0	9.0	32.84313725490196	18.55221130771202	5025	35131
24.4258100986	7	36.794117647058826	21.630968284552953	121.0	10.0	36.794117647058826	21.630968284552953	5004	40135
26.6950321198	8	35.72857142857143	21.208099146028033	122.0	9.0	35.72857142857143	21.208099146028033	5002	45137
29.4069020748	9	40.395161290322584	21.69614896272366	116.0	12.0	40.395161290322584	21.69614896272366	5009	50146
32.0751640797	10	40.008	20.457368745760046	111.0	12.0	40.008	20.457368745760046	5001	55147
34.9246940613	11	42.075630252100844	22.783659065240194	146.0	14.0	42.075630252100844	22.783659065240194	5007	60154
37.6616761684	12	49.53465346534654	26.367383225250858	122.0	16.0	49.53465346534654	26.367383225250858	5003	65157
40.3287880421	13	43.4051724137931	21.361816744496377	124.0	12.0	43.4051724137931	21.361816744496377	5035	70192
43.1387600899	14	50.04950495049505	24.74278622249232	142.0	15.0	50.04950495049505	24.74278622249232	5055	75247
45.9331851006	15	47.733333333333334	25.511628223286234	148.0	14.0	47.733333333333334	25.511628223286234	5012	80259
48.7165291309	16	46.93518518518518	23.529836515521904	143.0	15.0	46.93518518518518	23.529836515521904	5069	85328
51.4085521698	17	56.42696629213483	26.024572502592317	146.0	13.0	56.42696629213483	26.024572502592317	5022	90350
53.8664691448	18	55.1978021978022	25.48786385637043	125.0	16.0	55.1978021978022	25.48786385637043	5023	95373
56.4364311695	19	52.83157894736842	25.515177168265517	140.0	18.0	52.83157894736842	25.515177168265517	5019	100392
59.1856610775	20	60.34939759036145	27.077503103792598	148.0	17.0	60.34939759036145	27.077503103792598	5009	105401
61.9818940163	21	60.325301204819276	28.347290486417283	137.0	14.0	60.325301204819276	28.347290486417283	5007	110408
64.7342400551	22	62.617283950617285	26.100739264510114	145.0	25.0	62.617283950617285	26.100739264510114	5072	115480
67.3370161057	23	67.79729729729729	32.27289873400588	182.0	16.0	67.79729729729729	32.27289873400588	5017	120497
69.9311690331	24	65.1948051948052	31.399412254007494	182.0	20.0	65.1948051948052	31.399412254007494	5020	125517
72.5247740746	25	84.96666666666667	36.79445912392547	169.0	23.0	84.96666666666667	36.79445912392547	5098	130615
74.8730521202	26	72.5072463768116	35.936184658083526	192.0	18.0	72.5072463768116	35.936184658083526	5003	135618
77.6146111488	27	71.30985915492958	30.777068264636224	200.0	26.0	71.30985915492958	30.777068264636224	5063	140681
80.2649559975	28	78.78125	36.836407241172424	193.0	25.0	78.78125	36.836407241172424	5042	145723
83.0524041653	29	80.71875	39.161312521894615	188.0	20.0	80.71875	39.161312521894615	5166	150889
85.6961779594	30	86.36206896551724	35.08202127028938	200.0	27.0	86.36206896551724	35.08202127028938	5009	155898
87.9934310913	31	94.03703703703704	33.92637069092253	173.0	34.0	94.03703703703704	33.92637069092253	5078	160976
90.3402199745	32	104.29166666666667	43.26129829946803	200.0	33.0	104.29166666666667	43.26129829946803	5006	165982
93.0979840755	33	107.08510638297872	44.28333810248862	200.0	16.0	107.08510638297872	44.28333810248862	5033	171015
95.9846820831	34	111.26086956521739	39.30009115080075	200.0	40.0	111.26086956521739	39.30009115080075	5118	176133
98.8662531376	35	125.5609756097561	52.04831188213402	200.0	21.0	125.5609756097561	52.04831188213402	5148	181281
101.699612141	36	128.425	51.498974504352994	200.0	29.0	128.425	51.498974504352994	5137	186418
104.579296112	37	143.22222222222223	45.84582321403815	200.0	37.0	143.22222222222223	45.84582321403815	5156	191574
107.415883064	38	143.0857142857143	47.79980360304627	200.0	41.0	143.0857142857143	47.79980360304627	5008	196582
110.299303055	39	176.41379310344828	37.78844673047599	200.0	32.0	176.41379310344828	37.78844673047599	5116	201698
113.087568045	40	163.25806451612902	43.29193305018435	200.0	52.0	163.25806451612902	43.29193305018435	5061	206759
115.982934952	41	179.13793103448276	32.01586259634975	200.0	75.0	179.13793103448276	32.01586259634975	5195	211954
118.718638182	42	159.8125	38.30831951091042	200.0	76.0	159.8125	38.30831951091042	5114	217068
121.294664145	43	170.7	46.180912362865534	200.0	25.0	170.7	46.180912362865534	5121	222189
124.021548986	44	163.32258064516128	37.10698316748322	200.0	47.0	163.32258064516128	37.10698316748322	5063	227252
126.710368156	45	169.36666666666667	34.57213071568228	200.0	58.0	169.36666666666667	34.57213071568228	5081	232333
129.512727022	46	182.5	22.678655792868955	200.0	128.0	182.5	22.678655792868955	5110	237443
132.135588169	47	172.16666666666666	30.181764177875504	200.0	100.0	172.16666666666666	30.181764177875504	5165	242608
134.702841997	48	173.9655172413793	35.151379782229455	200.0	77.0	173.9655172413793	35.151379782229455	5045	247653
137.497154951	49	173.06896551724137	35.24488814437003	200.0	65.0	173.06896551724137	35.24488814437003	5019	252672
140.198459148	50	179.71428571428572	28.621741415096547	200.0	121.0	179.71428571428572	28.621741415096547	5032	257704
142.960814953	51	174.48275862068965	26.955417457740225	200.0	97.0	174.48275862068965	26.955417457740225	5060	262764
145.745078087	52	176.6206896551724	32.91411372470777	200.0	70.0	176.6206896551724	32.91411372470777	5122	267886
148.259958029	53	168.1	42.75772834626897	200.0	34.0	168.1	42.75772834626897	5043	272929
150.636106014	54	185.92592592592592	19.86794538376555	200.0	132.0	185.92592592592592	19.86794538376555	5020	277949
153.247740984	55	185.77777777777777	27.686516752320856	200.0	73.0	185.77777777777777	27.686516752320856	5016	282965
155.749746084	56	183.64285714285714	24.89293400275078	200.0	124.0	183.64285714285714	24.89293400275078	5142	288107
158.454199076	57	176.3793103448276	32.28901146819675	200.0	92.0	176.3793103448276	32.28901146819675	5115	293222
160.909883976	58	178.0	25.98408000667146	200.0	112.0	178.0	25.98408000667146	5162	298384
163.556754112	59	187.25925925925927	19.140015466135228	200.0	131.0	187.25925925925927	19.140015466135228	5056	303440
166.051511049	60	184.25	37.58098398316437	200.0	27.0	184.25	37.58098398316437	5159	308599
168.73558116	61	177.72413793103448	24.23291655881504	200.0	126.0	177.72413793103448	24.23291655881504	5154	313753
171.495637178	62	176.27586206896552	25.42995322073089	200.0	125.0	176.27586206896552	25.42995322073089	5112	318865
174.255543947	63	174.82758620689654	26.313847102733128	200.0	109.0	174.82758620689654	26.313847102733128	5070	323935
176.917721033	64	176.44827586206895	26.356424600408218	200.0	123.0	176.44827586206895	26.356424600408218	5117	329052
179.444039106	65	167.96666666666667	26.347021758740695	200.0	110.0	167.96666666666667	26.347021758740695	5039	334091
181.97638011	66	178.60714285714286	23.331981860764003	200.0	134.0	178.60714285714286	23.331981860764003	5001	339092
184.786762953	67	182.53571428571428	22.569704952272925	200.0	131.0	182.53571428571428	22.569704952272925	5111	344203
187.59671402	68	169.13333333333333	27.988966079907673	200.0	114.0	169.13333333333333	27.988966079907673	5074	349277
190.381561041	69	183.32142857142858	23.038870215709938	200.0	128.0	183.32142857142858	23.038870215709938	5133	354410
193.169563055	70	184.14285714285714	22.072468768831012	200.0	135.0	184.14285714285714	22.072468768831012	5156	359566
195.677165985	71	174.3448275862069	23.355241399573295	200.0	115.0	174.3448275862069	23.355241399573295	5056	364622
198.342430115	72	183.67857142857142	21.85186093976008	200.0	115.0	183.67857142857142	21.85186093976008	5143	369765
201.236417055	73	182.21428571428572	24.255127797845052	200.0	115.0	182.21428571428572	24.255127797845052	5102	374867
204.038455963	74	187.85185185185185	20.507819111714266	200.0	118.0	187.85185185185185	20.507819111714266	5072	379939
206.928830147	75	192.5	16.928015013807507	200.0	127.0	192.5	16.928015013807507	5005	384944
209.56222105	76	181.39285714285714	33.788564512816095	200.0	47.0	181.39285714285714	33.788564512816095	5079	390023
212.030497074	77	196.30769230769232	11.258395946578752	200.0	151.0	196.30769230769232	11.258395946578752	5104	395127
214.378256083	78	199.96153846153845	0.19230769230769226	200.0	199.0	199.96153846153845	0.19230769230769226	5199	400326
216.949198008	79	200.0	0.0	200.0	200.0	200.0	0.0	5200	405526
219.509396076	80	191.8148148148148	24.556868296288556	200.0	95.0	191.8148148148148	24.556868296288556	5179	410705
221.947497129	81	192.33333333333334	27.187960298359734	200.0	66.0	192.33333333333334	27.187960298359734	5193	415898
224.637709141	82	194.57692307692307	27.115384615384613	200.0	59.0	194.57692307692307	27.115384615384613	5059	420957
