Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.23461484909	0	23.25	12.683426910019948	65.0	9.0	23.25	12.683426910019948	1023	1023
3.87182283401	1	25.3	14.255174499107332	77.0	8.0	25.3	14.255174499107332	1012	2035
4.47208404541	2	30.515151515151516	22.26986169980762	130.0	11.0	30.515151515151516	22.26986169980762	1007	3042
5.03334498405	3	27.944444444444443	14.437498329859343	79.0	12.0	27.944444444444443	14.437498329859343	1006	4048
5.5916249752	4	32.774193548387096	17.96539626780643	71.0	15.0	32.774193548387096	17.96539626780643	1016	5064
6.15757083893	5	43.82608695652174	26.736479189876505	107.0	10.0	43.82608695652174	26.736479189876505	1008	6072
6.75853300095	6	42.24	26.919554231078937	107.0	12.0	42.24	26.919554231078937	1056	7128
7.32330989838	7	40.16	22.790664755552875	91.0	13.0	40.16	22.790664755552875	1004	8132
8.03455495834	8	49.30434782608695	31.38184850959256	167.0	15.0	49.30434782608695	31.38184850959256	1134	9266
8.62467694283	9	46.22727272727273	23.33926036489086	102.0	13.0	46.22727272727273	23.33926036489086	1017	10283
9.2001619339	10	42.625	21.43947391301071	93.0	12.0	42.625	21.43947391301071	1023	11306
9.76827001572	11	44.73913043478261	24.907162216491844	131.0	18.0	44.73913043478261	24.907162216491844	1029	12335
10.3678369522	12	55.421052631578945	26.746993514222517	96.0	20.0	55.421052631578945	26.746993514222517	1053	13388
10.9353039265	13	53.68421052631579	16.232043136239234	88.0	26.0	53.68421052631579	16.232043136239234	1020	14408
11.5013198853	14	59.35294117647059	29.41576443391934	137.0	27.0	59.35294117647059	29.41576443391934	1009	15417
12.0970540047	15	61.05555555555556	30.997261926073087	146.0	26.0	61.05555555555556	30.997261926073087	1099	16516
12.6746549606	16	57.611111111111114	37.47167654655816	159.0	16.0	57.611111111111114	37.47167654655816	1037	17553
13.2394330502	17	46.77272727272727	13.621279536018159	79.0	22.0	46.77272727272727	13.621279536018159	1029	18582
13.7782869339	18	67.2	21.52889531149551	101.0	27.0	67.2	21.52889531149551	1008	19590
14.3394980431	19	59.411764705882355	27.35831699228809	125.0	22.0	59.411764705882355	27.35831699228809	1010	20600
14.986011982	20	67.33333333333333	24.662161750791885	107.0	24.0	67.33333333333333	24.662161750791885	1010	21610
15.572412014	21	59.588235294117645	27.499858445687895	121.0	25.0	59.588235294117645	27.499858445687895	1013	22623
16.2123999596	22	68.93333333333334	29.57581594629113	127.0	21.0	68.93333333333334	29.57581594629113	1034	23657
16.8619508743	23	87.08333333333333	19.985237607349635	127.0	58.0	87.08333333333333	19.985237607349635	1045	24702
17.4404189587	24	59.0	18.847339924302904	91.0	33.0	59.0	18.847339924302904	1062	25764
18.0205750465	25	95.0909090909091	37.14701638686856	148.0	41.0	95.0909090909091	37.14701638686856	1046	26810
18.5647230148	26	103.6	40.87346327386511	200.0	31.0	103.6	40.87346327386511	1036	27846
19.1724300385	27	98.72727272727273	38.924381022908115	181.0	42.0	98.72727272727273	38.924381022908115	1086	28932
19.7819578648	28	110.5	49.78403358507625	200.0	35.0	110.5	49.78403358507625	1105	30037
20.3466649055	29	133.0	50.68037095365423	200.0	41.0	133.0	50.68037095365423	1064	31101
20.8789298534	30	109.6	38.82834016539981	182.0	50.0	109.6	38.82834016539981	1096	32197
21.3959419727	31	128.375	63.69053599240628	200.0	25.0	128.375	63.69053599240628	1027	33224
21.9294090271	32	168.33333333333334	30.933620688320485	200.0	120.0	168.33333333333334	30.933620688320485	1010	34234
22.477519989	33	148.28571428571428	59.343345482549466	200.0	37.0	148.28571428571428	59.343345482549466	1038	35272
23.0443499088	34	137.0	59.94789404140899	200.0	27.0	137.0	59.94789404140899	1096	36368
23.5945739746	35	167.83333333333334	40.932532565457294	200.0	89.0	167.83333333333334	40.932532565457294	1007	37375
24.1726989746	36	139.5	46.010868281309364	200.0	69.0	139.5	46.010868281309364	1116	38491
24.6826958656	37	145.42857142857142	36.08267151519507	200.0	78.0	145.42857142857142	36.08267151519507	1018	39509
