Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.115265131	0	21.10041841004184	11.942608567918612	83.0	8.0	21.10041841004184	11.942608567918612	5043	5043
7.95711016655	1	22.78181818181818	12.45163867870908	99.0	8.0	22.78181818181818	12.45163867870908	5012	10055
10.7542920113	2	24.544117647058822	14.160945143552679	116.0	8.0	24.544117647058822	14.160945143552679	5007	15062
13.4786791801	3	27.29891304347826	16.731667414537604	111.0	9.0	27.29891304347826	16.731667414537604	5023	20085
16.2812850475	4	28.361581920903955	16.221081832066904	83.0	9.0	28.361581920903955	16.221081832066904	5020	25105
19.00122118	5	28.1123595505618	15.492613827129562	85.0	10.0	28.1123595505618	15.492613827129562	5004	30109
21.5457620621	6	32.38709677419355	17.65343322060912	96.0	9.0	32.38709677419355	17.65343322060912	5020	35129
24.3424789906	7	32.17948717948718	17.11293077579101	113.0	11.0	32.17948717948718	17.11293077579101	5020	40149
26.7250959873	8	35.4822695035461	21.534930502065386	111.0	10.0	35.4822695035461	21.534930502065386	5003	45152
29.5607280731	9	39.4140625	23.823087326081264	153.0	10.0	39.4140625	23.823087326081264	5045	50197
32.3037490845	10	41.69166666666667	22.88441821900269	114.0	9.0	41.69166666666667	22.88441821900269	5003	55200
35.0430262089	11	42.88135593220339	22.258561290070407	124.0	11.0	42.88135593220339	22.258561290070407	5060	60260
37.8170571327	12	48.19230769230769	23.53723601636226	124.0	14.0	48.19230769230769	23.53723601636226	5012	65272
40.5695521832	13	48.35576923076923	23.98233254727913	142.0	9.0	48.35576923076923	23.98233254727913	5029	70301
43.1303792	14	46.81308411214953	23.383487600386115	137.0	13.0	46.81308411214953	23.383487600386115	5009	75310
45.7846260071	15	54.29032258064516	26.604462656277708	136.0	13.0	54.29032258064516	26.604462656277708	5049	80359
48.4304990768	16	55.43956043956044	31.02788848025354	200.0	11.0	55.43956043956044	31.02788848025354	5045	85404
51.2278389931	17	58.906976744186046	30.997984895862352	200.0	14.0	58.906976744186046	30.997984895862352	5066	90470
53.8518550396	18	57.29545454545455	27.46450564361088	150.0	12.0	57.29545454545455	27.46450564361088	5042	95512
56.5075590611	19	59.03529411764706	25.773423182816707	145.0	21.0	59.03529411764706	25.773423182816707	5018	100530
58.9956891537	20	65.0	27.007454478395356	167.0	15.0	65.0	27.007454478395356	5005	105535
61.7701361179	21	66.10526315789474	32.32588133180774	158.0	16.0	66.10526315789474	32.32588133180774	5024	110559
64.484965086	22	65.68831168831169	35.74159050678633	199.0	14.0	65.68831168831169	35.74159050678633	5058	115617
67.159758091	23	64.33333333333333	27.880085102078606	167.0	16.0	64.33333333333333	27.880085102078606	5018	120635
69.8487401009	24	68.01351351351352	28.72351576540541	182.0	30.0	68.01351351351352	28.72351576540541	5033	125668
72.5381040573	25	79.5079365079365	37.268597367089825	200.0	20.0	79.5079365079365	37.268597367089825	5009	130677
75.3334171772	26	94.38181818181818	42.7833828868133	200.0	30.0	94.38181818181818	42.7833828868133	5191	135868
78.0196900368	27	88.56140350877193	41.37760117179242	200.0	12.0	88.56140350877193	41.37760117179242	5048	140916
80.7906801701	28	88.7719298245614	35.27934515437314	200.0	15.0	88.7719298245614	35.27934515437314	5060	145976
83.5600700378	29	96.73076923076923	43.42815259563573	200.0	18.0	96.73076923076923	43.42815259563573	5030	151006
86.1742420197	30	116.37209302325581	48.510379256600885	200.0	26.0	116.37209302325581	48.510379256600885	5004	156010
89.0150001049	31	135.02631578947367	51.16613129492742	200.0	41.0	135.02631578947367	51.16613129492742	5131	161141
91.6440479755	32	127.3	56.07370150079269	200.0	15.0	127.3	56.07370150079269	5092	166233
94.3191330433	33	140.02777777777777	49.493257740104305	200.0	16.0	140.02777777777777	49.493257740104305	5041	171274
97.1396400928	34	152.2941176470588	49.89726469678927	200.0	20.0	152.2941176470588	49.89726469678927	5178	176452
99.8232710361	35	174.3448275862069	36.733218886967414	200.0	46.0	174.3448275862069	36.733218886967414	5056	181508
102.370589018	36	165.4516129032258	39.268996807937036	200.0	68.0	165.4516129032258	39.268996807937036	5129	186637
105.155525208	37	172.68965517241378	42.75036071497414	200.0	53.0	172.68965517241378	42.75036071497414	5008	191645
107.84187007	38	158.34375	46.737036554936815	200.0	50.0	158.34375	46.737036554936815	5067	196712
110.59226799	39	183.42857142857142	32.40417584579028	200.0	76.0	183.42857142857142	32.40417584579028	5136	201848
113.354123116	40	172.6551724137931	43.2732105246214	200.0	49.0	172.6551724137931	43.2732105246214	5007	206855
116.101081133	41	179.67857142857142	35.992115774974714	200.0	76.0	179.67857142857142	35.992115774974714	5031	211886
118.81291914	42	174.10344827586206	36.60162501346948	200.0	95.0	174.10344827586206	36.60162501346948	5049	216935
121.408091068	43	186.25925925925927	25.582969729725352	200.0	113.0	186.25925925925927	25.582969729725352	5029	221964
124.2460742	44	191.22222222222223	17.0214099022886	200.0	141.0	191.22222222222223	17.0214099022886	5163	227127
126.998234034	45	177.86206896551724	38.53500346790054	200.0	35.0	177.86206896551724	38.53500346790054	5158	232285
129.649353027	46	189.40740740740742	26.017457471445272	200.0	82.0	189.40740740740742	26.017457471445272	5114	237399
132.371939182	47	185.88888888888889	26.845695335094064	200.0	86.0	185.88888888888889	26.845695335094064	5019	242418
135.106669188	48	185.35714285714286	36.39585365485066	200.0	58.0	185.35714285714286	36.39585365485066	5190	247608
137.80808115	49	193.19230769230768	21.472736257097367	200.0	102.0	193.19230769230768	21.472736257097367	5023	252631
