LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.010314941	3.03347110748	0	24.095238095238095	11.10943297985036	62.0	11.0	24.095238095238095	11.10943297985036	1012	1012
0.04299736	3.80201220512	1	22.08695652173913	13.279317175603705	87.0	9.0	22.08695652173913	13.279317175603705	1016	2028
0.05316353	4.56056809425	2	23.928571428571427	14.331770995377562	83.0	8.0	23.928571428571427	14.331770995377562	1005	3033
0.02750969	5.28997015953	3	24.682926829268293	12.315841522578966	56.0	11.0	24.682926829268293	12.315841522578966	1012	4045
-0.003490448	6.08579897881	4	30.424242424242426	17.713255271261318	71.0	11.0	30.424242424242426	17.713255271261318	1004	5049
0.022899628	6.84265303612	5	29.142857142857142	18.572087900384055	95.0	12.0	29.142857142857142	18.572087900384055	1020	6069
0.19908905	7.56105518341	6	50.4	33.52372294361114	133.0	11.0	50.4	33.52372294361114	1008	7077
0.03806877	8.28874397278	7	34.6551724137931	20.27445456057682	90.0	15.0	34.6551724137931	20.27445456057682	1005	8082
0.007516861	9.04149699211	8	34.233333333333334	17.683671061807903	77.0	13.0	34.233333333333334	17.683671061807903	1027	9109
0.0051498413	9.83130407333	9	34.53333333333333	17.72142457278446	81.0	11.0	34.53333333333333	17.72142457278446	1036	10145
0.11448288	10.5937540531	10	49.095238095238095	25.93197100456126	90.0	13.0	49.095238095238095	25.93197100456126	1031	11176
0.10171127	11.3752400875	11	50.85	26.586227637632234	110.0	17.0	50.85	26.586227637632234	1017	12193
0.030529022	12.1675481796	12	52.45	22.826464903703332	93.0	20.0	52.45	22.826464903703332	1049	13242
0.022605896	12.9339950085	13	53.1578947368421	27.810000393449414	119.0	22.0	53.1578947368421	27.810000393449414	1010	14252
0.022994995	13.6799821854	14	39.38461538461539	14.665702855188577	72.0	15.0	39.38461538461539	14.665702855188577	1024	15276
-0.055591583	14.5073871613	15	55.63157894736842	28.806451262677786	136.0	22.0	55.63157894736842	28.806451262677786	1057	16333
0.055091858	15.2819180489	16	50.6	27.188968351153008	116.0	15.0	50.6	27.188968351153008	1012	17345
0.105392456	16.0383939743	17	81.0	48.09925635120008	191.0	25.0	81.0	48.09925635120008	1053	18398
0.061073303	16.814633131	18	63.5625	23.861498145548197	104.0	16.0	63.5625	23.861498145548197	1017	19415
-0.020584106	17.6234571934	19	60.76470588235294	35.52551595314309	142.0	15.0	60.76470588235294	35.52551595314309	1033	20448
-0.005504608	18.3652830124	20	50.2	20.977607108533615	87.0	21.0	50.2	20.977607108533615	1004	21452
