LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.062675476	2.96899700165	0	20.06	11.56790387235302	60.0	9.0	20.06	11.56790387235302	1003	1003
0.016317368	3.76762795448	1	21.404255319148938	11.231906631249657	59.0	10.0	21.404255319148938	11.231906631249657	1006	2009
0.05469513	4.46579194069	2	25.923076923076923	12.704500747785925	56.0	10.0	25.923076923076923	12.704500747785925	1011	3020
0.004793167	5.19560194016	3	25.125	10.249847559842049	54.0	9.0	25.125	10.249847559842049	1005	4025
0.12132263	5.89296793938	4	30.441176470588236	17.647181372123505	89.0	10.0	30.441176470588236	17.647181372123505	1035	5060
0.052568436	6.64473295212	5	27.916666666666668	15.31951369985353	75.0	9.0	27.916666666666668	15.31951369985353	1005	6065
0.013450623	7.39643502235	6	27.86111111111111	13.922708823632501	68.0	9.0	27.86111111111111	13.922708823632501	1003	7068
0.063381195	8.19162487984	7	31.181818181818183	19.547075338013418	116.0	11.0	31.181818181818183	19.547075338013418	1029	8097
0.07519531	8.90675806999	8	33.63333333333333	23.900464895524987	121.0	9.0	33.63333333333333	23.900464895524987	1009	9106
0.07980347	9.64957785606	9	43.52173913043478	24.680338178955314	114.0	15.0	43.52173913043478	24.680338178955314	1001	10107
0.07740402	10.3027670383	10	40.48	23.14151248298175	127.0	14.0	40.48	23.14151248298175	1012	11119
0.059303284	11.0149588585	11	42.333333333333336	23.582597161654796	99.0	13.0	42.333333333333336	23.582597161654796	1016	12135
0.08466339	11.8051478863	12	42.416666666666664	20.956138056002164	98.0	14.0	42.416666666666664	20.956138056002164	1018	13153
0.034160614	12.6056909561	13	46.72727272727273	20.163382242844932	97.0	20.0	46.72727272727273	20.163382242844932	1028	14181
0.010982513	13.3263540268	14	44.43478260869565	21.52415445383955	91.0	16.0	44.43478260869565	21.52415445383955	1022	15203
0.06404495	14.1091370583	15	53.473684210526315	27.12615444267111	118.0	13.0	53.473684210526315	27.12615444267111	1016	16219
0.082725525	14.8576960564	16	52.1	34.23141831709577	157.0	13.0	52.1	34.23141831709577	1042	17261
-0.020084381	15.6088180542	17	53.526315789473685	22.043899791224334	95.0	17.0	53.526315789473685	22.043899791224334	1017	18278
