Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.94678616524	0	24.666666666666668	13.854115198615462	66.0	9.0	24.666666666666668	13.854115198615462	1036	1036
2.6713821888	1	22.863636363636363	8.988859036432794	48.0	9.0	22.863636363636363	8.988859036432794	1006	2042
3.27534508705	2	27.16216216216216	14.076074225270519	68.0	11.0	27.16216216216216	14.076074225270519	1005	3047
3.84796619415	3	28.714285714285715	14.231898635653298	70.0	9.0	28.714285714285715	14.231898635653298	1005	4052
4.43113207817	4	30.294117647058822	12.361061756615612	62.0	10.0	30.294117647058822	12.361061756615612	1030	5082
5.01955008507	5	32.58064516129032	15.613836282436635	72.0	9.0	32.58064516129032	15.613836282436635	1010	6092
5.67737221718	6	30.727272727272727	14.063218148176313	73.0	12.0	30.727272727272727	14.063218148176313	1014	7106
6.23789215088	7	41.04	24.551138466474423	119.0	12.0	41.04	24.551138466474423	1026	8132
6.84970521927	8	41.76	17.44999713467025	82.0	15.0	41.76	17.44999713467025	1044	9176
7.5495531559	9	39.333333333333336	18.993176162525867	96.0	14.0	39.333333333333336	18.993176162525867	1062	10238
8.12983417511	10	43.125	21.12721881838686	92.0	13.0	43.125	21.12721881838686	1035	11273
8.72697520256	11	49.95454545454545	25.735503020195257	112.0	17.0	49.95454545454545	25.735503020195257	1099	12372
9.31105613708	12	40.53846153846154	18.882696126818104	81.0	13.0	40.53846153846154	18.882696126818104	1054	13426
9.95878720284	13	41.4	18.99052395275075	95.0	16.0	41.4	18.99052395275075	1035	14461
10.5579202175	14	39.0	15.316415788055396	71.0	21.0	39.0	15.316415788055396	1053	15514
11.2027602196	15	48.76190476190476	22.317844156648587	116.0	22.0	48.76190476190476	22.317844156648587	1024	16538
11.7743980885	16	51.05	21.129304295219946	113.0	19.0	51.05	21.129304295219946	1021	17559
12.3879461288	17	56.44444444444444	22.52460931273522	102.0	31.0	56.44444444444444	22.52460931273522	1016	18575
12.9445810318	18	51.3	20.413475941152207	89.0	12.0	51.3	20.413475941152207	1026	19601
13.4963710308	19	52.55	18.03461948586662	95.0	29.0	52.55	18.03461948586662	1051	20652
14.07716012	20	57.388888888888886	29.337383979581954	137.0	20.0	57.388888888888886	29.337383979581954	1033	21685
