Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.68184113503	0	19.160919540229884	8.373750579716594	57.0	8.0	19.160919540229884	8.373750579716594	5001	5001
7.53037905693	1	19.556420233463037	9.249551867704993	66.0	9.0	19.556420233463037	9.249551867704993	5026	10027
10.3083789349	2	22.348214285714285	12.189874180052483	80.0	9.0	22.348214285714285	12.189874180052483	5006	15033
13.1300489902	3	23.980861244019138	12.270851493985466	93.0	9.0	23.980861244019138	12.270851493985466	5012	20045
15.97625494	4	26.171875	12.549760979837092	85.0	10.0	26.171875	12.549760979837092	5025	25070
18.7364399433	5	28.91907514450867	15.645063682892191	99.0	9.0	28.91907514450867	15.645063682892191	5003	30073
21.471460104	6	31.60377358490566	16.943494277706513	83.0	10.0	31.60377358490566	16.943494277706513	5025	35098
24.162717104	7	33.3046357615894	17.888171154465073	98.0	8.0	33.3046357615894	17.888171154465073	5029	40127
26.4520261288	8	34.183673469387756	17.40514444560255	114.0	11.0	34.183673469387756	17.40514444560255	5025	45152
29.0525650978	9	34.53103448275862	17.320131867147047	106.0	8.0	34.53103448275862	17.320131867147047	5007	50159
31.5446219444	10	36.97080291970803	18.41648801325001	106.0	14.0	36.97080291970803	18.41648801325001	5065	55224
33.8268461227	11	41.975	21.236942066440108	110.0	13.0	41.975	21.236942066440108	5037	60261
36.3989109993	12	41.429752066115704	20.369246973135223	135.0	12.0	41.429752066115704	20.369246973135223	5013	65274
39.0941660404	13	42.66949152542373	21.712706224832047	140.0	12.0	42.66949152542373	21.712706224832047	5035	70309
41.7005610466	14	42.440677966101696	20.203013021170438	155.0	12.0	42.440677966101696	20.203013021170438	5008	75317
44.2945561409	15	46.90654205607477	19.816227047492266	100.0	14.0	46.90654205607477	19.816227047492266	5019	80336
46.8343141079	16	45.49090909090909	18.832151161122617	127.0	11.0	45.49090909090909	18.832151161122617	5004	85340
49.4741771221	17	49.127450980392155	24.14728969024996	200.0	17.0	49.127450980392155	24.14728969024996	5011	90351
52.178221941	18	50.35	19.91450476411603	113.0	15.0	50.35	19.91450476411603	5035	95386
54.6791241169	19	48.125	20.499853423490993	124.0	11.0	48.125	20.499853423490993	5005	100391
57.3602809906	20	55.72222222222222	20.733776939401068	123.0	17.0	55.72222222222222	20.733776939401068	5015	105406
60.2147269249	21	51.94845360824742	21.022997291881232	115.0	19.0	51.94845360824742	21.022997291881232	5039	110445
63.1013760567	22	56.26966292134831	26.42214088789667	179.0	21.0	56.26966292134831	26.42214088789667	5008	115453
66.1294419765	23	56.48314606741573	23.823372698496602	142.0	25.0	56.48314606741573	23.823372698496602	5027	120480
68.8905210495	24	54.58695652173913	24.89899254724325	174.0	21.0	54.58695652173913	24.89899254724325	5022	125502
71.6002619267	25	56.57303370786517	25.051805936583833	164.0	23.0	56.57303370786517	25.051805936583833	5035	130537
74.3189930916	26	59.31764705882353	26.091789001277725	193.0	25.0	59.31764705882353	26.091789001277725	5042	135579
76.8568711281	27	54.97802197802198	20.738019457809465	124.0	19.0	54.97802197802198	20.738019457809465	5003	140582
79.1377580166	28	62.8625	29.08339034139589	166.0	19.0	62.8625	29.08339034139589	5029	145611
81.6336629391	29	56.03333333333333	21.937512266536615	127.0	16.0	56.03333333333333	21.937512266536615	5043	150654
84.4006829262	30	58.5	23.20923533103068	123.0	14.0	58.5	23.20923533103068	5031	155685
87.15508008	31	62.333333333333336	22.535568593932833	136.0	28.0	62.333333333333336	22.535568593932833	5049	160734
89.683519125	32	62.8125	26.74794092542452	200.0	26.0	62.8125	26.74794092542452	5025	165759
92.3668410778	33	59.83529411764706	21.295593059058582	128.0	21.0	59.83529411764706	21.295593059058582	5086	170845
95.2415261269	34	70.36986301369863	33.0986515676647	200.0	29.0	70.36986301369863	33.0986515676647	5137	175982
97.9313530922	35	66.30263157894737	23.42570548105902	141.0	30.0	66.30263157894737	23.42570548105902	5039	181021
100.568095922	36	65.05194805194805	25.40421076862106	153.0	25.0	65.05194805194805	25.40421076862106	5009	186030
102.789216995	37	63.58227848101266	22.44859534098309	122.0	25.0	63.58227848101266	22.44859534098309	5023	191053
105.353945971	38	70.88732394366197	28.291017484415637	175.0	34.0	70.88732394366197	28.291017484415637	5033	196086
107.748209	39	63.75949367088607	23.205311040861414	144.0	21.0	63.75949367088607	23.205311040861414	5037	201123
110.022383928	40	72.76811594202898	24.530457216141205	123.0	25.0	72.76811594202898	24.530457216141205	5021	206144
112.2353971	41	74.1029411764706	23.24115246325081	140.0	35.0	74.1029411764706	23.24115246325081	5039	211183
114.712670088	42	74.65671641791045	26.19248624103381	144.0	24.0	74.65671641791045	26.19248624103381	5002	216185
117.400270939	43	75.70149253731343	29.699999962497177	168.0	27.0	75.70149253731343	29.699999962497177	5072	221257
120.022727966	44	78.59375	27.770104625973232	153.0	32.0	78.59375	27.770104625973232	5030	226287
122.350384951	45	82.90163934426229	31.841155406806756	179.0	38.0	82.90163934426229	31.841155406806756	5057	231344
125.123966932	46	82.34426229508196	33.02452404487032	190.0	30.0	82.34426229508196	33.02452404487032	5023	236367
127.718089104	47	84.01666666666667	34.58539752875802	189.0	27.0	84.01666666666667	34.58539752875802	5041	241408
130.454725027	48	87.98245614035088	29.544193022247125	194.0	45.0	87.98245614035088	29.544193022247125	5015	246423
133.001889944	49	86.2542372881356	34.036168808050874	159.0	24.0	86.2542372881356	34.036168808050874	5089	251512
135.499238014	50	98.05882352941177	38.427120613128395	200.0	38.0	98.05882352941177	38.427120613128395	5001	256513
138.010020971	51	90.85964912280701	41.50985450383459	200.0	23.0	90.85964912280701	41.50985450383459	5179	261692
140.741287947	52	109.85106382978724	44.10720919672412	200.0	35.0	109.85106382978724	44.10720919672412	5163	266855
143.325612068	53	106.52083333333333	43.26275803319628	200.0	45.0	106.52083333333333	43.26275803319628	5113	271968
145.89913106	54	125.2	47.6252034116391	200.0	45.0	125.2	47.6252034116391	5008	276976
148.270654917	55	125.775	45.98776331808278	200.0	48.0	125.775	45.98776331808278	5031	282007
150.909651041	56	144.28571428571428	47.348900381602725	200.0	27.0	144.28571428571428	47.348900381602725	5050	287057
153.577893019	57	143.0	50.75431016179808	200.0	30.0	143.0	50.75431016179808	5005	292062
156.425422907	58	165.2258064516129	43.02190715574308	200.0	24.0	165.2258064516129	43.02190715574308	5122	297184
158.945178032	59	167.56666666666666	35.17829191734901	200.0	85.0	167.56666666666666	35.17829191734901	5027	302211
161.691766977	60	169.8	46.217889754221076	200.0	35.0	169.8	46.217889754221076	5094	307305
164.517313957	61	175.75862068965517	43.36028309203759	200.0	36.0	175.75862068965517	43.36028309203759	5097	312402
167.117326021	62	167.2	39.252515842936745	200.0	73.0	167.2	39.252515842936745	5016	317418
169.979275942	63	168.33333333333334	40.41066965817594	200.0	83.0	168.33333333333334	40.41066965817594	5050	322468
172.575493097	64	183.46428571428572	29.04735314085943	200.0	101.0	183.46428571428572	29.04735314085943	5137	327605
175.126476049	65	180.25	32.74754625486138	200.0	106.0	180.25	32.74754625486138	5047	332652
177.71897006	66	171.26666666666668	44.74887956387536	200.0	40.0	171.26666666666668	44.74887956387536	5138	337790
180.178462029	67	172.3	45.41816817089831	200.0	39.0	172.3	45.41816817089831	5169	342959
182.888437986	68	170.1	39.5435203288731	200.0	77.0	170.1	39.5435203288731	5103	348062
185.593001127	69	182.96428571428572	30.151382511369835	200.0	88.0	182.96428571428572	30.151382511369835	5123	353185
188.302169085	70	192.33333333333334	23.862259059179777	200.0	106.0	192.33333333333334	23.862259059179777	5193	358378
190.970526934	71	188.77777777777777	25.837574323329584	200.0	101.0	188.77777777777777	25.837574323329584	5097	363475
193.632659912	72	189.40740740740742	27.132404105381497	200.0	98.0	189.40740740740742	27.132404105381497	5114	368589
196.359844923	73	183.25	29.549746191803408	200.0	108.0	183.25	29.549746191803408	5131	373720
198.876749992	74	186.22222222222223	32.96949581538953	200.0	68.0	186.22222222222223	32.96949581538953	5028	378748
201.714543104	75	184.5	33.854204212433395	200.0	78.0	184.5	33.854204212433395	5166	383914
204.527251005	76	189.55555555555554	25.511556325964108	200.0	86.0	189.55555555555554	25.511556325964108	5118	389032
206.871110916	77	187.85185185185185	25.79506657354479	200.0	105.0	187.85185185185185	25.79506657354479	5072	394104
209.280483961	78	196.65384615384616	14.34986547160824	200.0	126.0	196.65384615384616	14.34986547160824	5113	399217
211.68968606	79	192.5	21.33839082679205	200.0	119.0	192.5	21.33839082679205	5005	404222
213.976413012	80	190.96296296296296	22.724568987448254	200.0	103.0	190.96296296296296	22.724568987448254	5156	409378
216.585170984	81	196.5	13.08919107802018	200.0	136.0	196.5	13.08919107802018	5109	414487
219.300152063	82	195.6153846153846	15.823733205042947	200.0	127.0	195.6153846153846	15.823733205042947	5086	419573
222.169448137	83	200.0	0.0	200.0	200.0	200.0	0.0	5200	424773
225.014729977	84	200.0	0.0	200.0	200.0	200.0	0.0	5200	429973
227.574310064	85	199.07692307692307	3.7408665894731783	200.0	181.0	199.07692307692307	3.7408665894731783	5176	435149
230.096143007	86	193.26923076923077	16.97635843053893	200.0	141.0	193.26923076923077	16.97635843053893	5025	440174
232.795135975	87	199.26923076923077	3.653846153846154	200.0	181.0	199.26923076923077	3.653846153846154	5181	445355
235.520081997	88	196.46153846153845	12.701395348030948	200.0	142.0	196.46153846153845	12.701395348030948	5108	450463
238.24168396	89	197.65384615384616	8.156839073356728	200.0	167.0	197.65384615384616	8.156839073356728	5139	455602
241.03530097	90	195.46153846153845	22.29562007561604	200.0	84.0	195.46153846153845	22.29562007561604	5082	460684
243.850327969	91	199.23076923076923	3.8461538461538467	200.0	180.0	199.23076923076923	3.8461538461538467	5180	465864
246.244933128	92	197.46153846153845	11.731714968182382	200.0	139.0	197.46153846153845	11.731714968182382	5134	470998
248.600294113	93	197.65384615384616	11.73076923076923	200.0	139.0	197.65384615384616	11.73076923076923	5139	476137
251.256591082	94	197.5	12.5	200.0	135.0	197.5	12.5	5135	481272
253.895766973	95	195.57692307692307	14.131723932407366	200.0	134.0	195.57692307692307	14.131723932407366	5085	486357
256.724092007	96	199.5	2.5	200.0	187.0	199.5	2.5	5187	491544
259.419796944	97	200.0	0.0	200.0	200.0	200.0	0.0	5200	496744
262.191314936	98	199.73076923076923	1.3461538461538458	200.0	193.0	199.73076923076923	1.3461538461538458	5193	501937
264.95736599	99	195.42307692307693	11.813203424470816	200.0	156.0	195.42307692307693	11.813203424470816	5081	507018
